Total Score	Alignment
832915	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F1-A_HA_H3.sam
835130	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F2-A_HA_H3.sam
835130	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F3-A_HA_H3.sam
1823433	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F1-A_MP.sam
1823433	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F2-A_MP.sam
388821	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F1-A_NA_N2.sam
388821	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F2-A_NA_N2.sam
410827	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F1-A_NP.sam
410827	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F2-A_NP.sam
202342	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F1-A_NS.sam
202342	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F2-A_NS.sam
649974	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F1-A_PA.sam
649974	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F2-A_PA.sam
244984	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F1-A_PB1.sam
244984	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F2-A_PB1.sam
306558	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F1-A_PB2.sam
306558	/tmp/ashleysobelleonard/IRMAv1.2.0/B24-033_BZPB3P-7c8ujM3BWtRGrdFVGKeHNxaW8sjH5clD/ASSEMBLY/F2-A_PB2.sam
