Total Score	Alignment
31562	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F1-A_HA_H3.sam
31562	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F2-A_HA_H3.sam
130925	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F1-A_MP.sam
130925	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F2-A_MP.sam
18203	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F1-A_NP.sam
18132	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F2-A_NP.sam
141469	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F1-A_PA.sam
141469	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F2-A_PA.sam
43651	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F1-A_PB2.sam
47556	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F2-A_PB2.sam
49270	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F3-A_PB2.sam
49110	/tmp/ashleysobelleonard/IRMAv1.2.0/CHOI-021_N0_PJ6FV5-gYcNX4890Lbl5mj43ot55oAFMdOUJr7c/ASSEMBLY/F4-A_PB2.sam
